CODGL;Viv;Pob;Viv_par;Pob_viv_part;Viv_col;Pob_viv_col;Pob_sit_calle
60749;63.969;171.616;63.949;171.099;20;491;26
60756;121.350;297.282;121.287;295.978;63;1.292;12
60760;113.751;328.835;113.702;327.650;49;1.126;59
60763;59.772;168.041;59.734;166.657;38;1.384;.
60770;26.114;68.613;26.093;68.353;21;260;.
60778;34.951;98.215;34.942;97.929;9;286;.
60784;4.949;11.786;4.943;11.736;6;50;.
60791;65.029;145.575;64.951;144.678;78;895;2
60798;4.650;10.783;4.644;10.695;6;88;.
60805;158.930;446.949;158.895;446.291;35;634;24
60812;1.092;2.542;1.090;2.528;2;14;.
60819;8.220;14.810;8.187;14.591;33;219;.
60826;21.557;49.499;21.539;49.128;18;371;.
60833;33.813;62.426;33.768;61.889;45;537;.
60840;149.433;364.176;149.364;362.319;69;1.821;36
60847;4.121;9.164;4.116;9.090;5;74;.
60854;15.460;35.563;15.449;35.411;11;152;.
60861;125.809;282.280;125.737;280.541;72;1.701;38
60868;28.693;37.463;28.655;37.325;38;138;.
60875;13.541;32.717;13.528;32.552;13;164;1
60882;48.731;132.221;48.714;131.415;17;801;5
100007;1.502;1.237;1.500;1.221;2;16;.
100014;905;1.255;902;1.245;3;10;.
100021;522;583;522;583;.;.;.
100028;1.029;2.054;1.025;2.038;4;16;.
100035;1.432;3.302;1.427;3.282;5;20;.
100042;1.937;3.165;1.928;3.142;9;23;.
100049;5.660;16.513;5.646;16.403;14;106;4
100056;1.007;2.022;971;1.822;36;200;.
100063;6.049;16.581;6.041;16.539;8;42;.
100070;632;1.722;630;1.719;2;3;.
100077;617;1.612;615;1.459;2;153;.
100084;1.475;3.542;1.475;3.542;.;.;.
100091;954;2.093;954;2.093;.;.;.
100098;567;1.568;566;1.567;1;1;.
100105;412;1.052;410;1.046;2;6;.
100112;267;791;267;791;.;.;.
100119;653;1.608;651;1.597;2;11;.
100126;2.818;8.012;2.812;8.002;6;10;.
100133;4.505;11.873;4.500;11.469;5;404;.
100140;63.382;186.947;63.346;186.466;36;457;24
100147;1.578;2.849;1.578;2.849;.;.;.
100154;559;1.526;559;1.526;.;.;.
100161;4.679;14.625;4.678;14.624;1;1;.
100168;3.064;8.022;3.059;8.016;5;6;.
100175;6.717;18.348;6.711;18.325;6;23;.
100182;2.655;4.725;2.646;4.696;9;29;.
100185;630;1.235;630;1.235;.;.;.
100189;1.766;4.718;1.763;4.711;3;7;.
100196;2.211;6.307;2.204;6.273;7;34;.
100203;2.617;5.930;2.613;5.902;4;28;.
100210;7.780;20.999;7.757;20.920;23;79;.
100213;2.879;8.767;2.878;8.762;1;5;.
100217;1.768;4.555;1.768;4.555;.;.;.
100224;3.565;8.824;3.551;8.758;14;66;.
100231;6.352;16.571;6.326;16.496;26;75;.
100238;11.267;34.029;11.259;33.951;8;78;.
140000;40.958;70.934;40.936;65.554;22;5.380;.
140007;4.469;9.681;4.465;9.671;4;10;.
140014;1.097;1.834;1.096;1.832;1;2;.
140021;1.326;3.390;1.325;3.374;1;16;.
140028;1.034;1.262;1.031;1.249;3;13;.
140035;10.036;19.125;10.017;19.035;19;90;.
140042;3.285;5.162;3.277;5.086;8;76;.
140049;5.611;11.775;5.599;11.644;12;131;.
140056;1.444;3.911;1.438;3.879;6;32;.
140063;3.183;4.015;3.183;4.015;.;.;.
140070;2.332;3.362;2.332;3.362;.;.;.
140077;613.263;1.505.250;612.979;1.498.060;284;7.090;100
140084;1.907;3.242;1.901;3.229;6;12;1
140091;9.038;25.261;9.030;25.159;8;102;.
140098;2.888;8.154;2.888;8.154;.;.;.
140102;999;2.750;999;2.750;.;.;.
140105;4.114;13.890;4.114;13.890;.;.;.
140112;13.626;36.582;13.614;36.455;12;127;.
140119;15.540;45.689;15.535;45.620;5;69;.
140126;2.570;4.818;2.567;4.810;3;8;.
140133;4.646;16.122;4.644;16.081;2;41;.
140140;5.138;14.718;5.135;14.685;3;33;.
140143;767;2.794;767;2.794;.;.;.
140147;11.166;27.136;11.146;26.873;20;263;.
140154;4.140;12.891;4.135;12.753;5;138;.
140161;6.977;15.997;6.969;15.932;8;65;.
140168;9.339;25.240;9.331;25.171;8;69;.
140175;12.952;36.982;12.936;36.697;16;285;.
140182;12.632;37.001;12.620;34.759;12;2.242;.
140185;615;2.416;615;2.416;.;.;.
140189;1.971;3.494;1.952;3.394;19;100;.
140196;1.188;3.006;1.186;3.001;2;5;.
140203;3.886;10.577;3.880;10.565;6;12;.
140210;846;1.960;843;1.942;3;18;.
140217;1.548;3.721;1.546;3.703;2;18;.
140224;4.129;9.715;4.119;9.635;10;80;.
140231;585;1.157;583;1.141;2;16;.
140238;2.080;5.103;2.078;5.064;2;39;.
140245;884;1.832;884;1.832;.;.;.
140252;2.516;6.345;2.514;6.338;2;7;.
140259;1.320;3.489;1.320;3.489;.;.;.
140266;436;970;436;970;.;.;.
140273;1.425;3.264;1.424;3.223;1;41;.
140280;442;1.044;442;1.044;.;.;.
140287;567;1.215;566;1.206;1;9;.
140294;1.931;4.609;1.929;4.593;2;16;.
140301;747;1.628;746;1.610;1;18;.
140308;284;627;284;627;.;.;.
140315;1.271;3.123;1.270;3.094;1;29;.
140322;255;649;255;649;.;.;.
140329;682;1.605;682;1.605;.;.;.
140336;175;522;175;522;.;.;.
140343;1.130;2.615;1.130;2.615;.;.;.
140350;1.475;3.659;1.475;3.659;.;.;.
140357;45.492;97.815;45.452;96.083;40;1.727;5
140364;9.551;26.359;9.548;26.332;3;27;.
140371;9.370;25.360;9.368;25.340;2;20;.
140378;2.679;6.575;2.675;6.554;4;21;.
140385;2.361;6.108;2.358;6.080;3;28;.
140392;420;1.004;420;1.004;.;.;.
140399;1.045;2.698;1.044;2.689;1;9;.
140406;532;1.270;532;1.270;.;.;.
140413;5.666;14.473;5.661;14.405;5;68;.
140420;4.961;12.711;4.954;12.653;7;58;.
140427;541;1.147;540;1.133;1;14;.
140434;5.871;14.571;5.859;14.492;12;79;.
140441;299;711;299;711;.;.;.
140448;292;670;292;670;.;.;.
140455;734;1.900;734;1.900;.;.;.
140462;1.097;2.685;1.095;2.671;2;14;.
140469;2.474;5.941;2.468;5.907;6;34;.
140476;1.434;3.624;1.430;3.577;4;47;.
140483;3.477;7.580;3.471;7.533;6;47;.
140490;2.144;4.923;2.143;4.897;1;26;.
140497;183;563;183;563;.;.;.
140504;628;1.286;628;1.286;.;.;.
140511;298;732;298;732;.;.;.
140518;5.054;11.062;5.054;11.062;.;.;.
140525;3.401;7.387;3.394;7.335;7;52;.
140532;979;2.307;977;2.296;2;11;.
140539;1.352;2.885;1.351;2.868;1;17;.
140546;1.253;2.520;1.252;2.498;1;22;.
140553;1.752;3.793;1.750;3.763;2;30;.
140560;2.063;4.378;2.063;4.378;.;.;.
140567;5.519;11.433;5.519;11.433;.;.;.
140574;1.391;2.924;1.389;2.905;2;19;.
140581;12.135;28.706;12.123;28.593;12;113;.
140588;2.958;7.187;2.953;7.113;5;74;.
140595;413;917;412;899;1;18;.
140602;1.028;2.181;1.027;2.166;1;15;.
140609;1.159;2.126;1.149;2.074;10;52;.
140616;2.444;5.815;2.441;5.777;3;38;.
140623;632;1.348;631;1.340;1;8;.
140630;9.435;22.609;9.422;22.516;13;93;.
140637;547;1.172;546;1.162;1;10;.
140644;216;486;216;486;.;.;.
140651;1.461;3.464;1.457;3.438;4;26;.
140658;181;526;181;526;.;.;.
140665;5.832;9.910;5.827;9.877;5;33;.
140672;6.431;13.031;6.410;12.849;21;182;.
140679;11.199;25.461;11.171;25.138;28;323;.
140686;3.269;7.986;3.263;7.882;6;104;.
140693;2.936;7.279;2.920;7.216;16;63;.
140700;7.201;16.937;7.172;16.729;29;208;.
140707;675;1.414;674;1.410;1;4;.
140710;3.367;6.129;3.362;6.050;5;79;.
140714;630;1.215;628;1.213;2;2;.
140721;5.311;12.108;5.304;11.903;7;205;.
140728;6.062;11.035;6.059;11.024;3;11;.
140735;2.790;7.369;2.779;7.258;11;111;.
140742;36.208;71.719;36.160;71.280;48;439;.
140749;3.477;7.386;3.477;7.386;.;.;.
140752;1.516;2.857;1.516;2.857;.;.;.
140754;1.689;3.672;1.688;3.671;1;1;.
140756;1.569;2.870;1.569;2.870;.;.;.
140763;3.315;7.975;3.315;7.975;.;.;.
