CODGL;Viv;Pob;Viv_par;Pob_viv_part;Viv_col;Pob_viv_col;Pob_sit_calle
143162;89;237;89;237;.;.;.
143169;91;112;91;112;.;.;.
143176;202;555;202;555;.;.;.
143183;356;882;356;882;.;.;.
143190;48;125;48;125;.;.;.
143197;209;443;209;443;.;.;.
143204;108;93;108;93;.;.;.
143211;90;206;90;206;.;.;.
143218;116;219;116;219;.;.;.
143225;57;157;57;157;.;.;.
143232;75;215;75;215;.;.;.
143239;129;290;129;290;.;.;.
143246;16;25;16;25;.;.;.
180007;13.336;41.358;13.328;41.321;8;33;4
180010;1.072;3.048;1.072;3.048;.;.;.
180014;1.269;2.826;1.263;2.808;6;18;.
180021;141.256;430.170;141.183;428.346;73;1.780;44
180028;2.492;7.652;2.492;7.652;.;.;.
180035;4.003;13.480;4.002;13.471;1;9;.
180042;2.087;6.253;2.086;6.250;1;1;2
180049;997;3.351;997;3.351;.;.;.
180056;1.010;3.198;1.010;3.198;.;.;.
180059;392;1.270;392;1.270;.;.;.
180063;15.483;44.294;15.476;44.251;7;43;.
180070;2.204;5.968;2.204;5.968;.;.;.
180073;607;1.694;607;1.694;.;.;.
180077;5.309;14.903;5.308;14.883;1;20;.
180081;462;1.371;462;1.371;.;.;.
180084;11.070;35.339;11.069;35.322;1;17;.
180091;1.442;3.846;1.442;3.846;.;.;.
180098;3.195;8.816;3.185;8.722;10;94;.
180105;152;329;152;329;.;.;.
180112;2.996;8.578;2.996;8.578;.;.;.
180119;2.218;5.388;2.217;5.384;1;4;.
180126;526;1.440;526;1.440;.;.;.
180133;553;1.614;553;1.614;.;.;.
180137;1.085;2.489;1.085;2.489;.;.;.
180140;32.410;98.514;32.396;98.368;14;143;3
180143;1.845;5.368;1.843;5.366;2;2;.
180147;3.444;10.345;3.437;10.281;7;58;6
180154;495;1.665;495;1.665;.;.;.
180161;1.433;4.423;1.433;4.423;.;.;.
180168;10.952;27.487;10.942;27.417;10;65;5
180175;699;1.809;699;1.809;.;.;.
180182;1.209;3.585;1.209;3.585;.;.;.
180186;471;1.533;471;1.533;.;.;.
180188;397;1.305;397;1.305;.;.;.
180189;544;1.702;543;1.699;1;3;.
180196;1.406;4.653;1.406;4.653;.;.;.
180203;2.641;9.236;2.639;9.208;2;28;.
180210;5.936;20.163;5.934;20.152;2;11;.
180217;967;3.389;967;3.389;.;.;.
180224;4.515;11.568;4.511;11.541;4;27;.
180231;762;2.368;762;2.368;.;.;.
180238;1.008;2.561;1.008;2.561;.;.;.
180245;14.855;44.953;14.846;44.878;9;75;.
180252;630;1.670;630;1.670;.;.;.
180259;943;2.991;943;2.991;.;.;.
180266;3.413;9.535;3.413;9.535;.;.;.
180273;10.423;31.474;10.418;31.406;5;68;.
180280;475;1.372;475;1.369;.;.;3
180287;333;877;333;877;.;.;.
180294;17.732;53.969;17.719;53.761;13;208;.
180301;259;771;259;771;.;.;.
180308;6.609;22.347;6.599;22.275;10;72;.
180315;1.433;4.592;1.433;4.592;.;.;.
180318;748;2.259;748;2.259;.;.;.
180322;6.117;8.765;6.117;8.765;.;.;.
180329;2.383;6.206;2.380;6.179;3;27;.
180336;2.087;4.735;2.087;4.735;.;.;.
180343;323;968;323;968;.;.;.
180350;6.458;20.491;6.454;20.413;4;78;.
180357;398;1.120;394;1.113;4;7;.
180364;338;991;336;989;2;2;.
180371;3.989;10.663;3.988;10.655;1;8;.
180378;947;2.413;944;2.407;3;6;.
180385;1.267;3.526;1.265;3.513;2;13;.
180392;2.876;9.187;2.876;9.187;.;.;.
180399;1.268;3.402;1.268;3.402;.;.;.
180406;756;2.496;754;2.476;2;20;.
180413;1.089;3.438;1.089;3.438;.;.;.
180417;821;2.680;821;2.680;.;.;.
180420;3.366;10.699;3.365;10.686;1;13;.
180427;412;1.081;412;1.081;.;.;.
180434;12.477;37.202;12.476;37.198;1;4;.
180441;589;1.765;589;1.765;.;.;.
180448;12.453;31.879;12.452;31.878;1;1;.
180455;3.527;10.382;3.527;10.382;.;.;.
189998;538;1.448;538;1.448;.;.;.
220007;2.381;6.360;2.380;6.357;1;3;.
220014;3.106;8.176;3.103;8.161;3;15;.
220021;4.676;12.089;4.671;12.061;5;28;.
220028;4.237;11.226;4.235;11.215;2;11;.
220035;1.326;3.593;1.326;3.593;.;.;.
220042;847;2.335;846;2.326;1;9;.
220049;4.606;12.609;4.602;12.581;4;28;.
220056;2.592;6.841;2.586;6.805;6;36;.
220063;897;2.207;896;2.197;1;10;.
220070;172;559;171;558;1;1;.
220077;37.336;101.960;37.317;101.086;19;868;6
220084;12.909;34.598;12.899;34.493;10;105;.
220091;2.036;5.829;2.036;5.829;.;.;.
220098;163;443;163;443;.;.;.
220105;6.013;16.950;6.010;16.907;3;43;.
220112;3.651;8.319;3.648;8.310;3;9;.
220119;518;1.404;518;1.404;.;.;.
220126;3.582;9.249;3.580;9.239;2;6;4
220133;4.378;12.807;4.378;12.807;.;.;.
220140;1.648;4.397;1.645;4.384;3;13;.
220147;489;1.512;489;1.512;.;.;.
220154;1.052;3.142;1.049;3.129;3;13;.
220161;2.263;6.045;2.261;6.036;2;9;.
220165;623;1.538;621;1.526;2;12;.
220168;2.804;8.366;2.801;8.360;3;6;.
220175;1.454;3.775;1.453;3.773;1;2;.
220182;11.739;31.103;11.738;31.102;1;1;.
220189;3.866;9.925;3.861;9.898;5;27;.
220196;1.954;5.317;1.949;5.306;5;11;.
220203;3.580;8.501;3.576;8.464;4;37;.
220210;2.408;7.349;2.408;7.349;.;.;.
220217;3.859;11.448;3.851;11.405;8;43;.
220224;1.263;3.199;1.262;3.194;1;5;.
220231;220;566;220;566;.;.;.
220238;379;1.045;379;1.045;.;.;.
220245;4.075;12.196;4.071;12.164;4;32;.
220252;499;1.261;497;1.252;2;9;.
220259;12.418;35.790;12.405;35.487;13;252;51
220266;727;1.911;726;1.908;1;3;.
220273;648;1.757;647;1.753;1;4;.
220280;637;1.564;635;1.557;2;7;.
220287;5.933;18.284;5.928;18.239;5;40;5
220294;1.856;5.119;1.853;5.108;3;8;3
220301;9.571;26.416;9.568;26.354;3;53;9
220308;3.584;9.665;3.582;9.652;2;13;.
220315;338;776;338;776;.;.;.
220322;18.271;49.524;18.264;49.370;7;154;.
220329;11.527;30.258;11.524;30.223;3;35;.
220336;1.514;4.154;1.512;4.146;2;8;.
220343;1.604;4.563;1.603;4.562;1;1;.
220350;4.449;12.862;4.446;12.836;3;26;.
220357;5.101;13.956;5.098;13.938;3;18;.
220364;2.462;5.824;2.462;5.824;.;.;.
220371;3.233;8.455;3.231;8.441;2;14;.
220378;11.485;32.642;11.476;32.430;9;212;.
220385;20.072;59.846;20.065;59.655;7;191;.
220392;1.421;3.844;1.419;3.836;2;8;.
220399;13.142;40.660;13.135;40.561;7;99;.
220406;3.709;11.150;3.707;11.101;2;49;.
220413;112.112;300.640;112.049;298.611;63;2.002;27
220420;721;1.901;721;1.901;.;.;.
220427;5.502;14.161;5.500;14.144;2;17;.
220434;933;2.664;932;2.661;1;3;.
220441;2.030;5.764;2.026;5.745;4;19;.
220448;1.595;4.308;1.592;4.297;3;11;.
220455;2.396;6.057;2.392;5.993;4;64;.
220462;629;1.696;628;1.694;1;2;.
220469;935;2.363;932;2.357;3;6;.
220473;375;1.289;373;1.269;2;20;.
220476;10.865;31.504;10.851;31.337;14;167;.
260000;3.705;5.339;3.696;5.057;9;282;.
260007;40.426;102.505;40.384;102.155;42;306;44
260014;1.423;2.831;1.421;2.827;2;4;.
260021;1.872;4.210;1.870;4.206;2;4;.
260028;2.150;4.885;2.142;4.857;8;28;.
260035;1.245;2.413;1.245;2.413;.;.;.
260042;4.576;10.083;4.566;10.054;10;29;.
260049;77.175;201.854;77.130;201.230;45;624;.
260056;5.744;13.494;5.744;13.494;.;.;.
260063;739;1.638;738;1.634;1;4;.
260070;762;1.616;760;1.611;2;5;.
260077;15.215;37.261;15.181;37.012;34;249;.
260084;4.538;10.812;4.517;10.726;21;86;.
260091;1.646;3.967;1.644;3.960;2;7;.
260098;3.061;7.851;3.053;7.755;8;96;.
260105;582;1.259;580;1.251;2;8;.
260112;17.545;38.652;17.524;38.129;21;523;.
260119;43.188;106.796;43.153;106.218;35;578;.
260126;888;1.701;886;1.689;2;12;.
260133;1.224;3.164;1.224;3.164;.;.;.
260140;5.535;14.394;5.523;14.275;12;119;.
260147;1.276;2.717;1.272;2.704;4;13;.
260154;853;1.610;849;1.592;4;18;.
260161;727;1.300;727;1.300;.;.;.
265007;543;1.045;541;1.038;2;7;.
265014;258;609;254;579;4;30;.
265021;605;1.367;604;1.365;1;2;.
265028;243;524;237;507;6;17;.
268014;354;983;350;961;4;22;.
268021;102;80;102;80;.;.;.
268028;109;183;108;182;1;1;.
268035;338;612;336;608;2;4;.
268042;118;154;118;154;.;.;.
268049;104;166;104;166;.;.;.
268056;198;320;198;320;.;.;.
268063;136;246;136;246;.;.;.
268070;256;514;253;500;3;14;.
268077;253;589;251;579;2;10;.
268084;120;202;120;202;.;.;.
268091;96;199;96;199;.;.;.
268098;117;234;117;234;.;.;.
268105;133;256;132;255;1;1;.
268112;113;227;113;227;.;.;.
268119;57;88;57;88;.;.;.
268126;351;768;349;756;2;12;.
268133;369;577;367;574;2;3;.
268140;75;142;74;137;1;5;.
268147;99;184;99;184;.;.;.
300000;8.734;17.851;8.724;17.749;10;102;.
300007;13.486;31.744;13.439;31.555;47;189;.
300011;547;1.641;547;1.641;.;.;.
300014;9.002;22.309;8.995;22.213;7;96;.
300021;1.073;3.240;1.073;3.240;.;.;.
300028;5.681;12.524;5.672;12.432;9;92;.
300035;907;2.588;907;2.588;.;.;.
300042;62.496;180.325;62.435;179.181;61;1.144;.
300049;1.140;3.119;1.139;3.089;1;30;.
300056;806;2.345;806;2.345;.;.;.
300063;1.464;3.867;1.463;3.862;1;5;.
300070;974;1.980;974;1.980;.;.;.
300074;937;1.322;937;1.322;.;.;.
300077;1.537;3.189;1.536;3.159;1;30;.
300084;8.406;21.562;8.395;21.329;11;233;.
300091;4.535;10.796;4.533;10.777;2;19;.
300098;3.994;9.419;3.977;8.499;17;920;.
300105;15.562;41.884;15.550;41.709;12;175;.
300112;6.612;19.938;6.580;19.758;32;97;83
300115;512;1.537;510;1.500;2;37;.
300119;1.843;4.841;1.841;4.826;2;15;.
300126;769;1.991;769;1.991;.;.;.
300133;1.488;4.401;1.488;4.401;.;.;.
300140;676;1.815;675;1.809;1;6;.
300147;7.592;21.638;7.583;21.420;9;218;.
300154;1.371;3.270;1.370;3.268;1;2;.
300161;4.924;14.440;4.920;14.404;4;36;.
300168;2.325;5.808;2.324;5.784;1;24;.
300175;19.228;48.163;19.201;47.693;27;470;.
300182;798;1.771;796;1.720;2;51;.
300184;636;1.326;636;1.326;.;.;.
300185;484;1.020;484;1.020;.;.;.
300189;37.740;95.337;37.701;94.776;39;561;.
300196;3.032;7.617;3.028;7.596;4;21;.
300199;1.695;3.660;1.684;3.638;11;22;.
300203;4.610;10.397;4.604;10.308;6;89;.
300210;931;2.538;931;2.538;.;.;.
300217;2.130;5.688;2.127;5.682;3;6;.
300224;2.414;4.758;2.413;4.748;1;10;.
300231;1.138;2.943;1.137;2.935;1;8;.
300238;3.310;9.633;3.307;9.611;3;22;.
300245;10.977;30.858;10.970;30.834;7;24;.
300252;818;2.087;818;2.087;.;.;.
300255;745;1.999;744;1.986;1;13;.
300259;6.646;20.538;6.638;20.471;8;67;.
300266;865;2.165;865;2.165;.;.;.
300273;992;2.034;992;2.034;.;.;.
300280;2.313;5.058;2.309;5.044;4;14;.
300287;10.264;27.493;10.252;27.353;12;140;.
300291;546;1.394;545;1.384;1;10;.
300294;2.511;6.398;2.508;6.369;3;29;.
300297;3.184;9.276;3.184;9.276;.;.;.
300301;10.261;24.570;10.247;24.395;14;175;.
300305;452;1.166;452;1.166;.;.;.
300308;2.031;5.620;2.029;5.579;2;41;.
300315;2.514;6.539;2.513;6.528;1;11;.
300322;3.812;9.339;3.802;9.288;10;51;.
300329;3.971;7.581;3.966;7.525;5;56;.
300336;106.725;271.304;106.635;268.941;90;2.293;70
300340;504;1.234;502;1.204;2;30;.
300343;5.836;16.830;5.836;16.830;.;.;.
300350;1.997;4.510;1.995;4.498;2;12;.
300357;697;1.763;697;1.763;.;.;.
300364;4.216;11.204;4.210;11.141;6;63;.
300371;1.175;1.794;1.173;1.769;2;25;.
300378;1.424;3.712;1.422;3.705;2;7;.
300385;5.893;16.251;5.885;16.190;8;61;.
300392;1.396;2.992;1.395;2.974;1;18;.
300399;3.234;8.346;3.233;8.324;1;22;.
300406;6.957;16.813;6.947;16.635;10;178;.
300413;4.297;10.683;4.286;10.613;11;70;.
300420;1.154;2.823;1.153;2.808;1;15;.
300423;673;1.474;673;1.474;.;.;.
300427;35.659;86.735;35.631;86.016;28;706;13
300434;943;2.131;943;2.131;.;.;.
300437;563;1.290;563;1.290;.;.;.
300441;652;1.656;652;1.656;.;.;.
300448;968;2.353;968;2.353;.;.;.
300455;901;1.669;900;1.647;1;22;.
300462;815;1.697;813;1.683;2;14;.
300469;15.481;36.973;15.470;36.651;11;322;.
300476;1.106;3.170;1.106;3.170;.;.;.
300483;717;1.815;715;1.805;2;10;.
300490;15.882;42.215;15.866;41.749;16;466;.
302007;334;749;333;740;1;9;.
302042;107;285;107;285;.;.;.
302077;305;972;305;972;.;.;.
302084;373;635;373;635;.;.;.
302091;298;821;298;821;.;.;.
302112;352;812;351;808;1;4;.
302126;259;567;259;567;.;.;.
302133;918;972;917;895;1;77;.
302161;336;738;336;738;.;.;.
302175;516;1.162;516;1.162;.;.;.
302287;255;520;255;520;.;.;.
302376;247;658;246;608;1;50;.
302383;240;452;238;449;2;3;.
302411;388;798;388;798;.;.;.
302453;106;303;106;303;.;.;.
302512;184;369;183;365;1;4;.
302526;183;366;183;366;.;.;.
302596;259;685;259;685;.;.;.
302638;251;646;251;646;.;.;.
302666;157;428;157;428;.;.;.
302780;275;688;274;616;1;72;.
302787;213;322;213;322;.;.;.
302808;257;547;257;547;.;.;.
302836;249;527;249;527;.;.;.
302843;129;338;129;338;.;.;.
302899;135;238;135;238;.;.;.
302927;167;374;167;374;.;.;.
302941;261;556;261;556;.;.;.
302948;179;455;179;455;.;.;.
302955;345;840;343;800;2;40;.
302962;147;387;147;387;.;.;.
302976;184;404;183;347;1;57;.
302999;354;643;354;643;.;.;.
303020;1.234;1.559;1.233;1.542;1;17;.
303027;77;151;77;151;.;.;.
303034;119;265;119;265;.;.;.
303041;107;280;107;280;.;.;.
303091;228;594;228;594;.;.;.
303098;175;297;175;297;.;.;.
303112;285;606;285;606;.;.;.
303119;151;308;151;308;.;.;.
303154;283;639;283;639;.;.;.
303161;241;435;241;435;.;.;.
303175;240;537;240;537;.;.;.
303182;244;511;244;511;.;.;.
303189;380;863;380;863;.;.;.
303245;280;643;280;643;.;.;.
303252;289;625;289;625;.;.;.
303273;306;863;304;827;2;36;.
303280;334;842;334;842;.;.;.
303329;284;796;284;796;.;.;.
309007;129;231;129;231;.;.;.
309010;84;154;84;154;.;.;.
309015;262;570;262;570;.;.;.
309029;198;503;198;503;.;.;.
309035;98;167;98;167;.;.;.
309045;166;385;165;365;1;20;.
309050;224;515;224;515;.;.;.
309055;161;585;161;585;.;.;.
309070;68;153;68;153;.;.;.
309080;52;122;52;122;.;.;.
309090;111;283;111;283;.;.;.
309105;258;554;258;554;.;.;.
309110;179;462;179;462;.;.;.
309120;506;603;506;603;.;.;.
309125;197;480;197;480;.;.;.
309135;135;392;135;392;.;.;.
309140;155;421;155;421;.;.;.
309143;130;346;130;346;.;.;.
309145;72;110;72;110;.;.;.
309150;124;310;124;310;.;.;.
309155;185;485;185;485;.;.;.
309160;62;139;62;139;.;.;.
309175;227;636;227;636;.;.;.
309180;175;418;175;418;.;.;.
309185;43;120;43;120;.;.;.
309190;80;144;80;144;.;.;.
309192;55;127;55;127;.;.;.
309193;96;169;96;169;.;.;.
309195;159;233;159;233;.;.;.
309205;59;132;59;132;.;.;.
309220;190;437;190;437;.;.;.
309230;294;656;294;656;.;.;.
309245;124;367;124;367;.;.;.
309250;112;251;112;251;.;.;.
309280;123;262;122;252;1;10;.
309302;103;180;103;180;.;.;.
309330;78;282;77;63;1;219;.
309340;45;83;45;83;.;.;.
309345;54;62;54;62;.;.;.
309355;69;81;69;81;.;.;.
309365;98;194;98;194;.;.;.
309375;59;91;59;91;.;.;.
309395;37;60;37;60;.;.;.
309400;40;35;40;35;.;.;.
309405;277;656;277;656;.;.;.
309415;107;243;107;243;.;.;.
309420;200;419;200;419;.;.;.
309430;36;97;36;97;.;.;.
309440;110;302;110;302;.;.;.
309445;13;36;13;36;.;.;.
309450;75;247;74;245;1;2;.
309460;129;292;129;292;.;.;.
309465;117;320;117;320;.;.;.
309480;51;133;51;133;.;.;.
309485;119;173;119;173;.;.;.
309495;72;202;72;202;.;.;.
309497;54;167;54;167;.;.;.
309500;191;434;191;434;.;.;.
309505;132;410;132;410;.;.;.
309510;244;647;244;647;.;.;.
309515;122;305;122;305;.;.;.
309520;213;457;213;457;.;.;.
309525;284;663;284;663;.;.;.
309540;56;132;56;132;.;.;.
309545;158;349;158;349;.;.;.
309560;140;354;140;354;.;.;.
309565;61;163;61;163;.;.;.
309575;84;165;84;165;.;.;.
309585;129;286;129;286;.;.;.
309590;131;346;131;346;.;.;.
309605;113;269;113;269;.;.;.
309610;108;271;108;271;.;.;.
309615;139;306;139;306;.;.;.
309620;20;33;20;33;.;.;.
309625;68;103;68;103;.;.;.
309635;90;200;90;200;.;.;.
309650;108;271;108;271;.;.;.
309670;33;34;33;34;.;.;.
309685;82;193;82;193;.;.;.
309705;131;233;131;233;.;.;.
309710;123;280;123;280;.;.;.
309715;101;203;101;203;.;.;.
309730;190;436;190;436;.;.;.
309735;78;183;78;183;.;.;.
309770;109;150;109;150;.;.;.
309775;26;88;26;88;.;.;.
309780;104;238;104;238;.;.;.
309785;93;234;93;234;.;.;.
309790;88;160;88;160;.;.;.
309795;122;223;122;223;.;.;.
309820;31;64;31;64;.;.;.
309825;93;104;93;104;.;.;.
309832;79;139;79;139;.;.;.
309880;55;122;55;122;.;.;.
309885;66;129;66;129;.;.;.
309890;41;41;41;41;.;.;.
309895;43;55;43;55;.;.;.
309917;62;143;62;143;.;.;.
309920;167;392;167;392;.;.;.
309935;498;1.246;498;1.246;.;.;.
309940;229;541;229;541;.;.;.
309945;322;833;322;833;.;.;.
309950;390;872;390;872;.;.;.
309955;256;598;256;598;.;.;.
309957;165;316;165;316;.;.;.
309965;436;1.029;436;1.029;.;.;.
340007;3.229;7.936;3.227;7.921;2;15;.
340028;94.564;264.452;94.518;263.435;46;1.017;.
340049;1.413;3.579;1.412;3.575;1;4;.
340056;1.757;4.133;1.757;4.133;.;.;.
340063;3.401;8.828;3.397;8.804;4;24;.
340070;1.066;2.521;1.066;2.521;.;.;.
340077;5.969;17.042;5.967;17.027;2;15;.
340091;3.847;10.206;3.845;10.189;2;17;.
340098;2.694;7.045;2.694;7.045;.;.;.
340112;2.746;7.067;2.746;7.067;.;.;.
340119;2.104;5.362;2.103;5.358;1;4;.
340126;4.618;11.722;4.618;11.722;.;.;.
340133;8.143;22.186;8.136;22.020;7;166;.
340140;3.003;8.165;3.000;8.141;3;24;.
340147;2.118;5.264;2.117;5.263;1;1;.
340168;2.474;6.613;2.472;6.594;2;19;.
340175;1.809;5.052;1.808;5.048;1;4;.
340189;19.389;60.171;19.379;59.935;10;236;.
340196;5.460;14.583;5.459;14.572;1;11;.
340203;3.269;9.355;3.268;9.348;1;7;.
340210;2.958;7.480;2.957;7.469;1;11;.
340224;7.107;18.201;7.104;18.068;3;133;.
340231;3.968;9.637;3.966;9.610;2;27;.
340238;3.590;10.365;3.586;10.319;4;46;.
340245;9.566;27.378;9.559;27.344;7;34;.
340252;2.823;7.065;2.823;7.065;.;.;.
340259;4.428;16.063;4.419;16.035;9;28;.
345007;809;1.747;809;1.747;.;.;.
345014;589;1.489;589;1.489;.;.;.
345021;999;2.478;998;2.474;1;4;.
345028;732;1.613;732;1.613;.;.;.
345035;1.606;6.029;1.602;5.979;4;50;.
345042;1.529;3.872;1.529;3.872;.;.;.
345049;915;2.475;913;2.466;2;9;.
345056;1.112;3.016;1.112;3.016;.;.;.
345063;1.834;4.598;1.832;4.594;2;4;.
345070;1.040;2.631;1.039;2.629;1;2;.
380014;4.909;12.513;4.900;12.482;9;31;.
380035;101.406;312.446;101.375;310.943;31;1.421;82
380042;3.176;8.544;3.174;8.526;2;18;.
380049;1.277;4.635;1.277;4.635;.;.;.
380056;7.004;22.438;7.003;22.437;1;1;.
380063;6.920;23.878;6.920;23.878;.;.;.
380070;1.429;4.907;1.429;4.907;.;.;.
380074;1.434;5.088;1.434;5.088;.;.;.
380077;17.709;61.420;17.700;61.314;9;106;.
380091;858;1.362;858;1.362;.;.;.
380105;6.019;15.992;6.006;15.955;13;37;.
380119;1.696;6.303;1.695;6.295;1;8;.
380126;3.937;12.318;3.937;12.318;.;.;.
380133;5.388;17.682;5.382;17.628;6;54;.
380140;15.625;48.518;15.618;48.467;7;51;.
380147;2.695;9.431;2.694;9.424;1;7;.
380154;20.537;65.541;20.534;65.522;3;19;.
380161;2.778;6.729;2.778;6.729;.;.;.
380196;2.361;6.887;2.360;6.884;1;3;.
380203;1.422;4.581;1.422;4.581;.;.;.
380224;23.407;72.015;23.406;72.014;1;1;.
380238;1.055;3.057;1.055;3.057;.;.;.
380245;2.023;5.708;2.022;5.706;1;2;.
380252;1.822;6.374;1.822;6.374;.;.;.
380322;2.925;6.906;2.914;6.851;11;55;.
380329;2.620;5.691;2.599;5.646;21;45;.
380406;7.112;22.211;7.112;22.211;.;.;.
386007;621;1.302;617;1.296;4;6;.
386014;229;508;229;508;.;.;.
386021;445;731;444;712;1;19;.
386056;448;771;448;771;.;.;.
386060;561;657;561;657;.;.;.
386063;278;622;278;622;.;.;.
386067;497;1.510;497;1.510;.;.;.
386070;315;614;315;614;.;.;.
386077;588;1.007;587;1.006;1;1;.
386091;243;874;243;874;.;.;.
386098;280;691;280;691;.;.;.
386105;718;2.572;718;2.572;.;.;.
386112;480;1.312;480;1.312;.;.;.
386119;1.028;3.369;1.028;3.369;.;.;.
386126;611;1.300;611;1.300;.;.;.
386133;459;1.047;459;1.047;.;.;.
386140;401;860;400;856;1;4;.
386147;375;920;372;915;3;5;.
386154;161;539;157;507;4;32;.
386161;370;585;367;544;3;41;.
386168;992;2.974;985;2.915;7;59;.
386175;1.060;2.124;1.060;2.124;.;.;.
386179;353;851;349;803;4;48;.
386189;771;1.838;755;1.803;16;35;.
386196;342;849;342;849;.;.;.
386203;621;1.843;621;1.843;.;.;.
386210;230;274;229;271;1;3;.
386217;174;302;173;301;1;1;.
386224;453;618;453;618;.;.;.
386231;501;647;492;632;9;15;.
386238;337;668;337;668;.;.;.
386245;193;276;193;276;.;.;.
386252;266;347;266;347;.;.;.
386259;286;614;286;614;.;.;.
386266;698;1.499;697;1.495;1;4;.
386273;498;921;489;888;9;33;.
420007;345;471;345;471;.;.;.
420011;274;526;273;525;1;1;.
420014;1.212;2.063;1.209;2.032;3;31;.
420021;769;1.571;768;1.564;1;7;.
420028;1.028;2.325;1.027;2.315;1;10;.
420035;633;1.212;631;1.199;2;13;.
420042;714;1.020;714;1.020;.;.;.
420049;843;1.715;840;1.707;3;8;.
420056;1.054;1.783;1.052;1.780;2;3;.
420063;1.138;2.323;1.137;2.322;1;1;.
420070;355;514;353;501;2;13;.
420077;1.961;4.840;1.961;4.840;.;.;.
420084;237;393;237;393;.;.;.
420091;1.345;2.796;1.340;2.756;5;40;.
420098;329;663;328;649;1;14;.
420105;353;662;353;662;.;.;.
420112;897;1.771;896;1.770;1;1;.
420116;381;754;381;754;.;.;.
420119;4.866;10.568;4.856;10.501;10;67;.
420126;713;1.448;712;1.447;1;1;.
420133;6.702;15.522;6.691;15.412;11;110;.
420140;642;1.291;637;1.262;5;29;.
420147;29.385;67.585;29.358;67.138;27;447;.
420154;1.562;2.873;1.559;2.857;3;16;.
420158;347;582;345;566;2;16;.
420161;2.564;5.484;2.560;5.441;4;43;.
420168;2.372;5.016;2.366;4.980;6;36;.
420175;3.608;8.520;3.599;8.471;9;49;.
420182;1.363;2.672;1.358;2.617;5;55;.
420189;1.260;2.603;1.260;2.603;.;.;.
420196;433;940;432;936;1;4;.
420210;654;1.461;654;1.461;.;.;.
420217;941;1.959;940;1.953;1;6;.
420224;420;785;420;785;.;.;.
420231;2.745;5.735;2.738;5.686;7;49;.
420238;279;437;279;437;.;.;.
420245;365;609;365;609;.;.;.
420252;353;763;353;763;.;.;.
420259;1.217;2.495;1.212;2.467;5;28;.
420266;341;624;341;624;.;.;.
420273;1.197;2.566;1.194;2.533;3;33;.
420280;376;538;372;526;4;12;.
420287;386;759;386;759;.;.;.
420294;388;569;388;569;.;.;.
420301;1.756;4.215;1.754;4.199;2;16;.
420308;1.752;3.981;1.748;3.973;4;8;.
420315;3.459;8.379;3.453;8.312;6;67;.
420322;395;758;394;756;1;2;.
420329;1.227;2.881;1.223;2.864;4;17;.
420336;52.883;117.201;52.817;116.083;66;1.108;10
420343;333;612;332;597;1;15;.
420350;752;1.588;750;1.582;2;6;.
420357;7.304;17.909;7.298;17.807;6;102;.
420364;234;476;233;469;1;7;.
420371;1.850;3.848;1.846;3.796;4;52;.
420378;726;1.346;724;1.342;2;4;.
420385;4.116;10.743;4.112;10.725;4;18;.
420392;404;787;404;787;.;.;.
420399;3.018;6.344;3.010;6.284;8;60;.
420406;297;578;297;578;.;.;.
420413;1.413;2.686;1.410;2.675;3;11;.
422007;141;211;141;211;.;.;.
425007;186;360;186;360;.;.;.
425014;184;362;184;362;.;.;.
425028;156;298;155;295;1;3;.
425042;189;287;189;287;.;.;.
425049;201;351;200;348;1;3;.
425063;158;331;157;328;1;3;.
425077;148;261;146;251;2;10;.
425084;145;162;145;162;.;.;.
425091;107;160;107;160;.;.;.
425098;199;382;199;382;.;.;.
425105;63;91;63;91;.;.;.
425112;211;281;210;280;1;1;.
425119;223;528;223;528;.;.;.
425126;71;143;71;143;.;.;.
425133;179;300;179;300;.;.;.
425140;98;264;98;264;.;.;.
425147;469;789;469;789;.;.;.
425154;121;160;121;160;.;.;.
460007;6.665;16.257;6.661;16.251;4;6;.
460014;78.405;211.651;78.361;210.507;44;1.133;11
460021;2.718;5.810;2.718;5.810;.;.;.
460028;4.614;11.372;4.613;11.371;1;1;.
460035;6.416;15.666;6.412;15.630;4;36;.
460042;20.711;58.798;20.690;58.681;21;117;.
460049;3.213;7.002;3.203;6.984;10;18;.
460056;1.343;3.185;1.342;3.184;1;1;.
460063;3.314;7.618;3.312;7.615;2;3;.
460070;1.637;4.017;1.636;4.013;1;4;.
460077;783;1.886;782;1.885;1;1;.
460084;3.125;7.349;3.124;7.347;1;2;.
460091;2.034;5.019;2.033;5.017;1;2;.
460098;1.221;2.699;1.220;2.695;1;4;.
460105;964;2.401;963;2.399;1;2;.
460112;6.986;15.783;6.979;15.764;7;19;.
460119;2.090;4.314;2.087;4.306;3;5;3
460126;1.939;3.038;1.934;2.994;5;44;.
500007;58.152;127.160;58.068;123.715;84;3.434;11
500014;19.706;52.584;19.676;52.379;30;205;.
500021;71.740;195.159;71.705;194.557;35;599;3
500028;107.382;321.966;107.311;320.871;71;1.056;39
500035;14.841;46.604;14.836;46.472;5;132;.
500042;4.361;12.086;4.356;12.018;5;68;.
500049;72.614;234.401;72.568;233.839;46;503;59
500056;14.879;47.167;14.872;47.086;7;81;.
500063;58.537;175.056;58.460;171.883;77;3.171;2
500070;67.524;219.402;67.493;218.887;31;515;.
500077;12.388;32.717;12.352;32.596;36;121;.
